Circular stir
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
-13.5, -129.1, 147.9, 0.99, -0.67, 1.06
19.0, -152.2, 105.4, 1.31, 0.59, 0.94
18.7, 74.0, 33.2, 1.88, -0.25, -0.38
-52.7, 43.7, -59.4, 0.15, -1.03, -1.76
54.1, -78.9, -49.8, -0.78, 0.57, -0.48
61.3, 124.7, 132.1, 0.11, -1.71, 1.55
-73.6, -49.2, 75.7, -1.61, 1.53, -0.63
-9.9, 10.7, 80.7, -1.75, 1.79, -1.02
47.6, -48.1, -35.6, 1.15, 0.90, -1.27
-42.8, 132.2, -156.6, -1.90, 0.48, 1.10
-87.9, 155.7, -124.8, -1.57, 1.80, 1.25
17.1, 129.5, -99.0, 1.30, 1.70, 0.26
-32.8, -135.1, -136.3, 1.63, 1.56, 1.63
-46.1, -100.8, 134.8, -1.28, -0.45, 0.44
49.5, -47.6, -29.9, -1.73, 1.32, 1.70
14.8, -27.2, -74.7, 1.24, -0.46, -0.98
12.3, 6.6, -77.7, -1.38, -1.81, -1.37
101.6, -65.6, -51.9, -0.16, 0.17, -0.15
16.0, -126.3, 128.2, 1.49, -1.26, 0.98
-57.3, 120.2, -155.1, 1.04, 0.56, 1.19
-48.1, -58.9, 71.3, -1.42, -1.87, -0.64
-9.8, -164.8, -96.0, -0.03, -1.51, 0.25
-57.6, 169.7, 164.0, -1.16, -0.61, -1.87
46.9, -174.1, 133.4, -0.46, 1.91, 1.97
-11.2, 1.7, -77.7, -0.84, -1.38, -0.57
38.9, -137.6, 161.9, 0.55, -0.45, 1.38
-47.5, 87.6, -50.7, 0.88, 0.08, -0.06
-22.6, 52.8, -64.5, 0.90, 1.59, -0.76
-36.7, 170.9, -120.9, -1.40, -0.67, 2.00
21.5, 31.3, -71.5, 1.72, -1.63, -0.79
56.3, -53.0, -50.3, 1.14, 1.11, -0.92
23.3, 44.4, 30.8, 1.28, -1.02, -1.71
47.4, 107.3, -154.8, 0.34, 0.38, 0.81
63.7, 19.4, 88.9, -1.15, -1.04, -0.02
83.4, 158.2, 109.6, -1.76, 1.71, 0.82
-40.1, -153.0, 166.3, 0.43, -0.57, -1.69
47.2, -158.3, -94.3, 0.61, -0.57, 0.27
-28.8, -15.4, 66.4, 0.09, 1.17, -1.23
-58.9, 131.2, -114.8, -0.24, -1.23, 1.29
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
39.0, -59.3, -28.4, 0.32, 0.27, -0.50
-78.9, 8.9, -53.4, -0.78, 0.69, -0.52
-80.0, 48.1, -46.6, -1.07, 0.28, -0.26
82.3, 53.4, 73.8, -1.69, -0.74, -0.22
20.6, 21.2, -29.4, -1.13, 0.61, -1.08
-21.8, -20.1, 34.8, 0.16, -1.26, -1.81
-31.3, 66.1, -3.2, -1.45, 0.02, -0.37
65.6, -26.4, 44.9, 0.01, -0.92, -0.93
-13.0, 4.7, -61.2, -0.70, 0.67, -0.38
-8.0, -16.3, -67.2, 0.05, -1.71, -0.97
6.4, 169.7, -156.2, -0.96, 0.61, 1.37
13.2, -13.3, 79.0, -0.06, 1.40, -0.51
34.3, 74.5, 51.9, 0.16, -0.68, -0.55
-32.2, -164.3, 96.8, -0.02, 1.44, 0.30
24.7, -46.3, 15.9, 0.34, -0.28, -1.01
-71.3, -156.1, -162.7, -0.03, 0.49, 1.55
-90.2, 41.0, -47.9, 1.91, 1.10, -0.99
21.8, -28.6, 46.2, -0.55, -0.33, -0.32
-117.8, 39.9, -72.1, -1.34, 0.61, -0.20
-3.8, -145.4, -108.8, 1.08, -1.42, 0.88
25.9, -8.1, 77.3, -0.53, -1.98, -0.45
50.7, 104.2, 155.7, -0.77, -0.41, 0.92
