Horizontal Swing
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
-53.7, 151.1, 168.6, 1.46, 0.02, 1.57
-37.3, -57.6, -26.1, 1.02, 0.42, -0.85
-16.8, -58.7, -81.0, 1.55, 1.21, -0.19
-43.2, -117.2, 166.0, 0.53, -0.12, 0.50
-39.1, -36.5, -45.9, 1.03, 1.46, -1.42
-37.5, 111.1, 108.8, -0.96, -1.64, 0.56
-48.3, -35.4, -6.0, 0.30, 0.11, -1.08
17.2, 36.4, -85.0, 1.76, -1.61, -0.21
-0.2, -2.0, 89.6, -0.26, 1.64, -0.05
-4.9, -169.1, -91.5, 0.08, -1.13, 0.07
6.9, 140.9, -111.4, -1.85, 1.58, 0.62
-161.0, 7.5, 17.2, -0.65, -0.31, -1.02
30.4, 175.3, 106.6, -0.84, 0.18, 1.14
40.5, 36.0, -1.5, 1.68, 0.07, 1.52
-83.7, 141.5, 167.7, -1.54, -0.27, 1.25
-30.8, -64.1, 35.3, 0.35, -0.26, -0.38
10.9, 115.1, -156.2, 1.13, 0.43, 0.96
70.1, 1.8, 0.8, -0.69, -0.03, 1.48
8.3, -177.3, -98.4, -0.45, -0.38, 0.53
39.5, -53.8, 54.4, 0.86, -0.90, -0.65
-45.7, -35.8, 61.6, -1.63, 0.32, -2.00
-41.2, -49.5, -31.8, 0.91, 0.71, -1.13
0.6, -24.7, 38.7, 0.26, -1.25, -1.56
39.1, -60.5, -84.5, 1.34, 1.13, -0.11
-27.5, 171.1, -109.7, -0.95, 1.71, 0.61
-28.0, -173.1, 165.2, -0.48, -0.38, 1.44
40.8, 68.1, -47.9, -0.15, 1.04, -0.94
57.9, -139.2, -157.7, 1.35, 0.89, -1.82
-67.8, -33.2, 22.1, -0.16, -0.29, -0.73
45.6, -93.2, -126.8, 0.51, 0.23, 0.17
25.3, -48.0, 66.8, 1.18, -1.56, -0.68
7.2, -177.0, -97.3, -0.46, 0.80, 0.61
79.3, 41.1, 86.7, 0.77, 1.13, -0.17
-15.7, -139.6, -114.2, 0.95, 1.82, 0.81
-5.9, -169.3, -102.4, -0.16, -0.98, 0.65
12.5, -174.6, 100.3, -0.58, -1.61, 0.28
-50.9, -99.2, 166.2, 1.55, -0.08, 0.33
31.4, -37.6, 43.1, 1.60, -1.94, 1.92
-44.0, 77.0, 45.4, -0.65, -0.67, -0.67
45.7, 97.3, -123.4, 0.37, 0.33, 0.21
-18.4, -156.3, 132.0, 0.05, -0.96, 0.86
-44.1, 98.6, 172.1, -0.61, -0.09, 0.61
40.0, -136.0, 164.0, 1.42, -0.56, 1.93
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
-25.3, 52.9, 20.6, -1.63, -0.33, -0.87
-8.9, 154.6, 97.9, 1.76, 0.19, 0.53
59.8, 14.4, 49.5, -0.93, -1.52, -1.30
47.4, 17.8, 37.1, -1.57, 1.82, 1.12
-74.5, 142.6, -144.6, -1.74, 1.01, 1.41
6.6, 168.3, -92.7, -1.20, -0.18, 0.18
39.3, 68.1, -20.9, -1.60, 0.17, -0.44
-45.3, 71.5, -68.7, -0.36, 1.23, -0.48
31.3, -73.8, 16.9, -1.12, -0.28, -0.92
162.4, 158.7, -165.6, -0.54, 0.08, 0.31
178.4, 175.6, -101.4, -0.51, 1.15, 0.23
50.8, 114.1, 166.3, -0.01, -0.37, 1.56
-5.5, 6.1, 85.0, -0.98, -1.21, -0.45
-46.1, 26.9, 6.8, -0.89, -0.10, -0.91
35.6, 19.7, 38.6, -0.69, -0.45, -0.57
128.4, -164.9, -106.9, 0.13, -1.66, 0.71
-179.2, -153.5, -156.8, -0.46, 0.06, 0.12
