Raise hand and hold
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
-23.6, -108.6, 130.0, 1.57, -0.54, 0.45
85.8, 42.2, 10.9, -1.89, -0.28, -1.47
-50.2, 75.2, -15.6, 1.96, 0.39, -1.40
165.2, 16.5, -36.6, -1.02, 0.99, -1.33
-21.1, 116.3, 155.5, 1.45, -0.41, 0.91
44.4, -26.3, -68.8, -0.05, 0.91, -0.35
-62.7, 132.6, -130.3, 0.50, -1.91, 1.77
44.2, 77.7, -89.3, 1.14, 0.51, -0.01
-64.1, 67.3, -49.7, 1.54, 0.61, -0.52
-47.5, -12.3, -1.7, 0.12, 0.09, 0.90
-44.0, 68.4, 37.7, 1.57, -0.45, -0.59
42.0, -167.2, -105.3, -0.29, 1.61, 0.43
-21.3, 25.7, 57.0, -1.22, -0.95, -0.63
51.6, -10.9, -33.7, 0.04, -1.91, 0.88
-150.6, -150.5, 179.5, -0.18, 0.00, 0.91
98.2, 34.0, 66.3, -1.95, -1.53, -0.69
26.2, -53.8, 72.8, -1.88, 1.95, -0.65
-62.2, -55.0, 88.5, 0.87, -1.18, -0.04
-34.8, 137.6, 143.1, 0.85, -1.51, -1.99
50.5, -145.6, -117.4, -0.12, 0.95, 0.48
39.0, -38.6, -34.2, 0.79, 1.15, -1.69
-64.2, -119.5, 154.2, 1.14, -0.48, 1.00
-27.1, 164.5, -125.9, -1.57, -1.56, 1.76
29.0, -51.7, 75.4, -1.85, 1.80, -0.57
34.1, 156.3, -164.1, -1.59, 0.55, 1.91
-74.9, 126.0, -110.1, -1.81, 0.75, 0.27
29.9, 110.8, -145.5, -1.87, 0.25, 0.36
136.9, -174.1, -92.5, -0.54, 1.72, 0.07
64.2, -121.5, -106.8, -1.73, 1.75, 0.53
9.7, 176.1, 104.7, -0.93, 1.07, 0.77
91.3, -37.1, -80.2, 0.59, 1.70, -0.29
-29.3, -148.1, -162.4, 0.65, 0.67, -1.89
53.2, 103.8, 90.2, 0.84, -0.60, 0.00
77.8, -166.0, 176.5, -0.31, -0.10, 1.66
-51.3, 78.1, -79.8, -0.41, 0.76, -0.14
143.9, -5.4, -85.3, -0.38, -0.39, -0.30
59.4, -111.5, -125.2, -0.83, 1.26, 0.89
-39.5, -110.2, -127.0, 0.61, 1.56, 1.18
-43.6, -165.7, -122.3, 0.10, -1.29, 1.71
-15.5, 176.3, 105.1, -1.12, -1.98, 1.62
94.9, -145.7, -163.8, 0.57, 0.52, 1.81
-56.6, 52.2, -81.2, -0.27, -1.28, -0.42
-69.5, 150.6, 170.4, -1.99, -0.38, -1.76
-72.7, 40.7, -88.9, 0.58, -0.85, -0.06
-23.4, 127.6, -123.7, 0.91, 1.53, 1.02
77.2, 139.2, 95.9, 0.35, 0.61, 0.35
58.9, -121.8, -107.7, -1.68, 1.79, 0.57
63.5, 158.9, 153.0, -1.86, -1.36, -1.32
54.4, 115.0, 156.3, -1.03, -0.81, 1.85
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
-59.0, -17.8, 55.2, 0.17, -1.91, -1.33
37.1, 49.2, -42.5, -0.31, -1.82, 1.62
-134.4, -171.8, -141.4, -0.41, 0.69, 0.87
-43.3, -124.6, -146.1, 0.10, 0.26, 0.39
-17.5, 167.4, -114.9, -1.33, -0.94, 1.42
-78.7, 32.3, -87.1, 1.46, -0.89, -0.16
