Shaking fist (3 shakes)
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
7.4, -146.4, -104.3, 0.46, 1.60, 0.41
-9.8, 19.9, -86.7, -1.42, -1.83, -0.12
68.5, -134.7, -97.7, 1.47, -1.93, 0.28
-28.6, -13.9, 11.8, -0.15, -0.40, -1.92
34.6, -147.4, 122.6, 0.65, -1.69, 1.08
-21.1, -161.1, 140.4, 0.08, -1.33, 1.61
-40.4, 46.8, 31.0, 0.71, -1.29, 1.86
-62.9, 159.2, -167.4, -1.20, 0.32, 1.45
154.2, 174.4, 92.3, -0.88, 1.64, 0.09
27.8, 9.4, -57.6, -1.13, -1.54, -1.56
57.2, 11.9, 45.1, -1.15, -1.66, -1.66
-29.6, 70.6, 31.2, 1.60, -0.29, -0.51
92.9, -33.3, -70.7, 0.71, -1.91, -0.73
123.9, 18.0, 87.8, -1.04, -0.93, -0.04
46.2, -133.8, 160.9, -0.25, -0.14, 0.43
62.2, -67.2, -50.5, 1.16, 0.64, -0.53
-64.5, 19.6, 36.6, -1.44, -1.10, -1.50
53.3, -108.7, -143.7, -1.45, 0.68, 0.90
-2.3, -1.5, -76.6, -0.60, -1.07, -0.70
11.2, 44.6, -83.1, 1.22, -1.86, -0.26
32.6, 61.7, -71.9, -0.45, 1.95, -0.64
4.5, 16.9, -15.6, -1.19, 0.49, -1.72
12.8, -39.6, -80.8, 0.82, 1.65, -0.27
52.4, 170.9, 127.8, -0.83, -1.32, 1.02
-12.7, -22.5, -76.2, 0.25, 1.91, -0.47
13.7, 19.3, 80.8, -1.35, 1.86, -0.35
-12.0, 151.8, 136.4, -1.69, -1.42, 1.49
-25.4, 73.6, -88.0, 0.10, 0.97, -0.03
7.8, -149.7, 112.0, -0.31, -0.45, 0.18
42.5, -99.2, 125.5, -1.60, -0.41, 0.29
70.1, -50.5, -63.1, 1.67, 1.69, -0.86
-65.9, 48.9, -67.9, 0.27, -1.53, -1.00
46.0, -13.7, -75.2, 0.02, -0.73, -0.86
46.0, 98.2, -145.7, -1.09, 0.33, 0.52
-50.7, -71.3, 14.7, 0.24, -0.45, -1.65
5.3, -34.3, 55.3, 0.32, -1.42, -0.97
-43.7, -171.9, -129.3, -0.51, 1.97, 1.60
34.4, -37.1, 3.2, 0.85, -0.12, 1.74
-50.8, 31.4, -49.0, -1.94, 1.35, -1.16
