Punch (forward thrust)
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
-89.0, -35.1, 1.5, -0.75, -0.71, -1.83
98.1, -116.2, 168.0, 0.68, -0.05, 0.25
4.7, -177.9, 103.4, 0.28, 0.84, 0.75
-9.3, 38.2, 72.3, -1.41, -1.91, -0.61
-40.8, -133.2, -142.1, 2.00, 1.06, 1.36
-53.3, 101.8, -149.1, -1.42, 0.17, 0.28
-92.6, 29.1, -52.9, -1.20, 1.94, -1.47
-0.8, -16.7, -89.2, 0.56, 1.34, -0.02
-13.4, -151.9, 102.2, 1.05, -1.75, 0.37
70.5, -126.7, -104.4, -1.84, 1.50, 0.38
14.2, 120.2, 96.5, 1.28, -1.61, 0.18
42.1, -159.8, 140.8, 0.73, -1.38, 1.68
-55.6, -68.3, 88.0, 1.06, -0.45, -0.02
60.5, -166.9, 177.7, 0.47, -0.09, -1.57
-34.3, -5.0, -48.5, 0.28, -0.72, 1.10
25.8, -15.8, -79.8, 0.39, -1.80, -0.40
-20.3, 176.5, -98.6, -0.47, -0.45, 0.53
162.9, -32.5, 40.7, -0.15, -0.11, -0.14
-69.7, 125.8, -154.4, 1.79, 0.60, 1.25
20.3, -146.6, 94.5, 0.54, -1.25, 0.10
58.8, 99.5, 94.9, 1.64, -0.34, 0.03
-5.4, 165.7, -118.5, -0.84, 1.92, 1.04
22.3, 136.0, -124.8, 1.96, 1.53, 1.06
13.1, -156.3, -154.4, 0.36, 0.59, 1.23
-5.4, -140.8, 93.7, 1.80, 1.51, 0.16
21.6, -7.3, 68.1, 0.33, 0.22, -1.52
41.9, 131.4, -149.4, 1.68, 0.95, 1.61
-11.5, 14.7, 77.4, -0.88, 1.42, -0.58
-63.9, 135.5, 153.3, -1.04, -0.40, 0.78
122.8, 19.2, 45.7, -0.39, -0.43, -0.42
77.9, -13.5, -35.5, 0.33, 1.28, -1.80
25.1, -128.6, 101.7, 0.60, -0.62, 0.13
-70.1, 46.4, -77.1, 1.85, 1.81, -0.41
37.4, -70.2, 55.4, -1.48, -0.81, -0.56
-25.5, 30.8, 64.8, 1.26, 0.16, -1.81
0.8, -151.8, 120.7, 1.10, 1.88, 1.25
-35.7, -114.3, -96.7, -1.41, 1.25, 0.15
-31.7, 168.0, -168.8, -0.41, 0.21, 1.05
-16.0, 36.5, 50.0, -0.91, -0.75, -0.63
-60.8, 147.1, -93.1, 1.89, -1.03, 0.16
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
-35.7, -6.8, 26.2, 0.38, -1.24, 1.49
56.2, 143.8, 116.5, -1.86, 1.67, 1.16
11.6, 0.8, -1.0, 0.03, 0.02, -1.16
-75.0, -128.8, 120.4, 1.99, -1.35, 0.79
0.8, 21.2, 87.8, -1.55, -0.10, -0.16
-61.2, 30.9, -27.1, -0.82, 0.66, -1.29
156.3, -14.3, -69.3, 0.39, 1.26, -0.48
23.8, -52.2, -80.2, -1.94, 1.54, -0.27
60.7, -109.7, -147.0, 1.14, 0.21, 0.33
-90.6, 134.3, -101.6, -0.94, 0.95, 0.19
-39.3, -128.5, -134.5, -1.21, 1.55, 1.52
-55.6, -95.8, 132.6, -1.99, -0.15, 0.13
-43.2, 130.5, -154.2, 1.14, 1.08, -1.76
16.2, 30.1, -70.2, -1.45, -1.56, -0.88
-32.1, -176.2, 144.8, 0.23, -1.56, -1.79
-67.2, 56.5, -9.1, -1.27, 0.14, -0.84
-32.0, -72.5, -55.1, -1.24, 0.72, -0.50
-55.6, -4.4, 68.1, 0.24, 0.85, -1.27
53.3, 107.9, 161.1, 1.61, -0.23, 0.67
162.8, -1.2, 66.0, -0.18, -0.17, -0.08
24.2, -83.8, 23.3, 1.62, -0.07, -0.19
58.3, -157.1, 155.1, 0.50, -0.70, 1.51
-93.6, 19.5, 17.2, -0.73, -0.36, -1.18
14.8, 156.2, -97.1, -1.08, 1.76, 0.21
5.5, 170.5, -113.4, -0.71, -1.84, 0.93
38.8, -68.2, 55.5, -0.19, -1.36, -0.94
-27.3, -13.5, 80.3, -0.15, -0.82, -0.14
-68.0, -36.8, 0.2, 0.76, -0.00, -1.48
14.7, -168.3, 103.9, -0.20, -0.72, 0.18
-134.9, 178.5, -147.1, -0.40, 0.62, 0.96
136.2, -177.9, -118.9, -0.27, -1.60, 1.32
15.2, 172.4, -130.6, -0.62, 1.40, 1.20
-73.8, 126.7, -135.2, 1.73, 1.00, 1.00
48.6, 37.2, 4.4, 1.63, -0.20, 1.38
-16.9, 153.4, 137.2, -0.78, -0.55, 0.59
37.2, 175.5, 133.5, -0.69, 1.00, -1.16
54.6, -177.5, -133.3, -0.30, 0.86, 0.81
-0.6, 140.5, -90.0, 1.34, -1.20, 0.00
66.5, -59.9, -24.9, 0.25, 0.15, -0.32
-16.0, -70.1, 34.9, -1.76, -0.54, -0.77
-87.3, 113.6, -169.1, -0.89, 0.04, 0.23
69.0, 9.6, -49.8, -0.58, 1.02, -0.87
56.4, -105.0, -108.2, 0.06, 1.12, 0.37
8.5, -169.1, 100.5, -0.15, -1.26, 0.23
5.2, 17.3, -74.2, -0.54, 0.46, -0.13
-54.4, -105.2, 119.6, -0.15, -1.00, 0.57
21.8, -15.8, 64.0, 0.09, -1.45, -0.70
-144.5, -17.7, -71.8, -0.13, 0.71, -0.23
19.5, 34.9, -82.3, -1.36, 1.41, -0.19
13.0, 8.5, -80.7, -0.63, 1.71, -0.28
