measurement_id,sequence_id,label_id,label,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
0,0,3,circular,149.5,3.1,19.6,-0.16,0.33,0.53
0,1,3,circular,149.7,3.0,19.6,-0.16,0.33,0.53
0,2,3,circular,150.0,2.9,19.7,-0.15,0.34,0.53
0,3,3,circular,150.2,2.9,19.9,-0.14,0.36,0.53
0,4,3,circular,150.3,3.0,20.2,-0.13,0.37,0.53
0,5,3,circular,150.4,3.3,20.5,-0.12,0.38,0.53
0,6,3,circular,150.4,3.6,20.9,-0.12,0.39,0.53
0,7,3,circular,150.4,4.1,21.3,-0.13,0.39,0.54
0,8,3,circular,150.3,4.5,21.7,-0.15,0.39,0.54
0,9,3,circular,150.1,4.8,22.1,-0.16,0.39,0.54
0,10,3,circular,149.9,4.9,22.3,-0.17,0.39,0.54
0,11,3,circular,149.6,4.9,22.6,-0.18,0.4,0.54
0,12,3,circular,149.3,4.8,22.9,-0.18,0.41,0.54
0,13,3,circular,148.9,4.7,23.2,-0.17,0.43,0.54
0,14,3,circular,148.5,4.6,23.6,-0.16,0.44,0.54
0,15,3,circular,148.0,4.6,24.1,-0.16,0.44,0.54
0,16,3,circular,147.6,4.7,24.7,-0.16,0.44,0.54
0,17,3,circular,147.1,4.8,25.3,-0.16,0.45,0.53
0,18,3,circular,146.6,4.9,25.9,-0.15,0.46,0.52
0,19,3,circular,146.1,5.0,26.6,-0.15,0.47,0.52
0,20,3,circular,145.6,5.3,27.5,-0.14,0.48,0.51
0,21,3,circular,145.1,5.5,28.4,-0.13,0.48,0.51
0,22,3,circular,144.6,5.9,29.4,-0.13,0.49,0.51
0,23,3,circular,144.2,6.2,30.4,-0.13,0.5,0.52
0,24,3,circular,143.7,6.5,31.5,-0.13,0.49,0.53
0,25,3,circular,143.1,6.8,32.6,-0.13,0.49,0.55
0,26,3,circular,142.5,7.1,33.6,-0.13,0.49,0.56
0,27,3,circular,141.9,7.4,34.5,-0.14,0.5,0.57
0,28,3,circular,141.2,7.8,35.5,-0.14,0.5,0.58
0,29,3,circular,140.6,8.3,36.5,-0.15,0.5,0.59
0,30,3,circular,139.9,8.9,37.6,-0.17,0.5,0.6
0,31,3,circular,139.3,9.5,38.6,-0.19,0.48,0.61
0,32,3,circular,138.7,10.2,39.7,-0.22,0.46,0.62
0,33,3,circular,138.2,10.8,40.6,-0.24,0.45,0.62
0,34,3,circular,137.8,11.6,41.6,-0.26,0.43,0.63
0,35,3,circular,137.4,12.4,42.7,-0.28,0.43,0.64
0,36,3,circular,137.1,13.3,43.7,-0.29,0.43,0.65
0,37,3,circular,136.8,14.3,44.9,-0.3,0.43,0.66
0,38,3,circular,136.6,15.4,46.3,-0.32,0.43,0.67
0,39,3,circular,136.6,16.4,47.8,-0.35,0.43,0.67
0,40,3,circular,136.7,17.4,49.4,-0.39,0.42,0.67
0,41,3,circular,136.9,18.1,51.0,-0.42,0.4,0.66
0,42,3,circular,137.1,18.7,52.6,-0.45,0.39,0.65
0,43,3,circular,137.3,19.1,54.0,-0.48,0.39,0.64
0,44,3,circular,137.4,19.3,55.4,-0.51,0.41,0.63
0,45,3,circular,137.7,19.5,56.8,-0.56,0.42,0.62
0,46,3,circular,138.0,19.6,58.4,-0.61,0.41,0.62
0,47,3,circular,138.6,19.4,60.0,-0.67,0.38,0.62
0,48,3,circular,139.3,19.0,61.7,-0.73,0.35,0.64
0,49,3,circular,140.3,18.3,63.3,-0.78,0.31,0.66
0,50,3,circular,141.4,17.4,64.9,-0.81,0.28,0.69
0,51,3,circular,142.7,16.1,66.4,-0.83,0.26,0.72
0,52,3,circular,144.1,14.8,67.8,-0.84,0.27,0.75
0,53,3,circular,145.5,13.5,69.4,-0.85,0.28,0.78
0,54,3,circular,147.0,12.2,70.9,-0.86,0.28,0.8
0,55,3,circular,148.8,10.7,72.5,-0.87,0.26,0.83
0,56,3,circular,151.1,9.0,74.3,-0.87,0.24,0.85
0,57,3,circular,153.9,7.1,76.1,-0.84,0.24,0.87
0,58,3,circular,157.3,5.1,78.0,-0.8,0.25,0.89
0,59,3,circular,161.4,3.1,80.1,-0.76,0.27,0.91
0,60,3,circular,166.1,1.1,82.3,-0.7,0.29,0.93
0,61,3,circular,171.6,-1.0,84.6,-0.64,0.31,0.95
0,62,3,circular,177.8,-3.0,87.1,-0.57,0.32,0.97
0,63,3,circular,-175.7,-5.1,89.6,-0.51,0.33,0.99
0,64,3,circular,-169.1,-172.8,92.0,-0.45,0.33,1.02
0,65,3,circular,-162.6,-170.8,94.4,-0.4,0.33,1.04
0,66,3,circular,-156.4,-168.8,96.7,-0.35,0.32,1.06
0,67,3,circular,-150.2,-167.1,99.0,-0.3,0.3,1.08
0,68,3,circular,-144.2,-165.5,101.2,-0.26,0.29,1.09
0,69,3,circular,-138.1,-164.1,103.4,-0.21,0.27,1.11
0,70,3,circular,-132.2,-162.9,105.7,-0.16,0.26,1.13
0,71,3,circular,-126.6,-161.8,108.1,-0.11,0.23,1.15
0,72,3,circular,-121.3,-160.8,110.5,-0.06,0.21,1.16
0,73,3,circular,-116.5,-159.7,112.9,-0.02,0.18,1.18
0,74,3,circular,-112.0,-158.8,115.2,0.01,0.16,1.2
0,75,3,circular,-107.5,-158.1,117.4,0.03,0.14,1.21
0,76,3,circular,-103.1,-157.8,119.6,0.06,0.12,1.23
0,77,3,circular,-98.8,-157.6,121.7,0.1,0.1,1.24
0,78,3,circular,-95.2,-157.6,123.9,0.15,0.07,1.26
0,79,3,circular,-92.5,-157.4,126.1,0.22,0.02,1.27
0,80,3,circular,-90.7,-156.6,128.4,0.28,-0.03,1.28
0,81,3,circular,-89.6,-155.4,130.5,0.33,-0.09,1.3
0,82,3,circular,-89.0,-153.8,132.5,0.36,-0.14,1.3
0,83,3,circular,-88.5,-151.9,134.3,0.39,-0.18,1.31
0,84,3,circular,-88.0,-149.9,136.0,0.42,-0.22,1.31
0,85,3,circular,-87.4,-147.7,137.6,0.46,-0.24,1.31
0,86,3,circular,-86.8,-145.5,139.1,0.48,-0.25,1.31
0,87,3,circular,-86.2,-143.4,140.4,0.51,-0.24,1.31
0,88,3,circular,-85.8,-141.3,141.5,0.53,-0.21,1.31
0,89,3,circular,-85.5,-139.2,142.3,0.54,-0.19,1.3
0,90,3,circular,-85.3,-137.0,143.0,0.56,-0.17,1.29
0,91,3,circular,-85.2,-134.7,143.5,0.58,-0.16,1.28
