Vertical chop
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
-47.6, -143.1, -141.7, 0.92, 1.22, 1.54
-38.9, -34.6, -48.2, 1.41, -1.87, -1.90
-59.4, -131.1, 113.9, 1.94, -1.99, 0.88
-26.1, -148.0, -137.7, 0.54, 1.19, 1.30
-68.6, -4.8, 25.2, -0.36, -0.99, 1.89
-7.2, 156.0, -109.9, -1.91, -1.16, 1.03
28.3, 125.2, -94.2, 0.57, -1.97, 0.15
52.5, 30.5, 8.0, -1.50, -0.22, -1.58
-61.6, -70.0, 59.2, 1.72, -0.71, -0.42
-132.1, -15.3, 48.8, -0.35, -0.56, -0.49
20.5, 175.1, 168.8, -0.71, -0.35, 1.76
-43.8, -86.4, -23.2, 1.44, 0.05, -0.12
-16.6, 143.4, 111.4, 1.95, -1.86, 0.73
-56.9, -52.6, 84.8, 1.48, -1.56, -0.14
-20.4, -29.1, -72.5, 1.65, -0.19, -1.20
5.4, -178.5, -96.6, -0.53, -1.59, 0.28
-48.4, 61.2, -5.6, -1.07, 0.25, 1.55
-57.0, 177.8, -165.6, -0.64, 0.22, 0.84
-0.0, 16.8, -62.6, -1.33, 1.97, -1.02
43.3, 171.4, -161.0, -1.10, 0.95, -1.27
66.3, 131.8, 97.3, -1.53, -0.76, 0.09
-28.9, -156.3, -116.5, 0.54, -1.54, 1.22
-5.4, 25.3, -71.2, -1.64, 1.96, -0.67
-37.6, -1.8, 43.7, -0.60, -1.45, -1.53
-37.6, 38.9, 1.4, 1.68, -0.05, 1.95
-31.5, -17.9, -63.8, -0.00, 1.85, -0.91
-14.4, -163.9, -104.9, 0.06, -1.56, 0.64
42.5, 130.9, 176.4, 1.56, -0.09, 1.52
40.1, -74.3, 79.4, -0.61, -1.11, -0.21
-56.3, -166.7, -163.2, -0.02, 0.78, -1.42
6.4, -5.1, -85.7, -0.44, -1.63, -0.18
-9.4, -9.5, -81.9, -0.13, -0.89, -0.44
-35.7, -47.5, 52.5, 1.81, -1.78, -1.37
-96.7, -154.9, 110.9, 0.17, -1.60, 0.61
-147.8, -1.9, 80.3, -0.60, -0.91, -0.16
17.0, 148.5, -98.1, 1.39, -0.80, 0.46
1.5, -75.2, 47.7, 0.97, -0.31, -0.28
33.2, -125.0, 126.1, 1.89, -1.42, 1.04
23.0, -159.3, -118.3, 0.52, -1.31, 1.45
-23.0, 101.0, -162.3, 0.19, 0.18, 0.59
-45.7, 59.7, -66.2, 1.15, 1.18, -0.52
12.0, 176.5, -110.4, -0.87, -0.67, 1.24
25.7, -164.8, 111.4, 0.05, 1.59, 0.95
27.0, -5.1, 68.5, -0.36, 0.89, -1.21
62.7, -58.6, -71.6, -1.74, 1.68, -0.56
53.5, -168.3, -139.8, -0.18, 1.53, 1.83
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
25.7, -153.0, 114.5, 0.64, 1.98, 0.92
155.8, 140.2, 156.9, -0.67, -0.08, 0.19
4.6, -63.0, 80.2, 0.20, -0.35, -0.06
-67.6, -66.9, 64.1, 0.83, -0.51, -0.25
-83.0, 166.4, -136.0, -1.13, 1.82, 1.88
67.3, 150.6, 114.4, -1.51, -1.64, 0.74
47.6, 116.4, 177.6, -1.03, -0.10, -1.75
-47.1, 5.5, -49.7, -0.65, 1.24, -1.05
10.7, 38.3, 32.6, 2.00, -0.99, -1.56
-24.9, -97.8, -118.9, -1.79, 0.34, 0.18
-29.2, -47.8, -43.1, 1.46, 1.26, -1.34
33.3, 116.0, -127.6, 0.06, 1.28, 0.98
-24.9, -133.5, -95.2, -1.62, -1.13, 0.25
8.1, -0.0, 69.4, -0.66, 1.93, -0.79
-34.7, -173.9, -144.2, -0.38, 1.61, -1.79
20.8, 26.5, -58.6, -1.94, -1.93, -1.26
-14.6, 162.2, 113.2, -0.99, -0.72, 0.30
-44.6, -162.4, 133.6, -0.39, -0.79, 0.76
80.3, 24.8, 34.3, -1.22, -0.59, -0.87
-46.8, -96.2, 94.4, -0.11, -0.50, 0.04
6.3, 13.9, -87.6, -1.20, 1.90, -0.08
-46.9, 24.1, -33.3, -1.94, 1.49, 1.74
18.6, 66.8, 28.1, -1.75, -0.21, -0.40
45.2, -103.9, -126.1, -1.94, 0.56, 0.40
-129.3, 48.1, 16.9, -1.45, -0.20, -0.65
-54.4, -133.1, 103.6, 0.88, -1.42, 0.34
39.8, -56.0, 75.2, 0.15, -0.54, -0.14
-34.2, 157.8, 137.2, -1.28, -0.99, 1.07
-59.5, 155.3, -165.8, -1.56, 0.47, 1.85
33.0, -138.9, -142.7, 1.22, 1.33, 1.75
-59.4, -53.1, 23.4, 0.02, -0.21, -0.49
-69.9, 59.4, -34.3, -1.75, 0.35, -0.52
-130.0, -4.6, 26.1, -0.57, -0.76, -1.54
39.2, 1.3, 47.0, -0.81, 0.79, 1.00
7.3, 20.9, -63.2, -1.20, 1.13, -0.57
-47.3, -9.6, -52.0, -0.24, -1.79, -1.72
50.9, -64.0, -5.4, -0.63, 0.17, -1.96
-21.4, -5.3, 83.1, -0.32, -0.01, -0.47
-24.0, -156.3, -116.8, 0.52, -1.53, 1.27
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
70.5, -37.7, -42.2, 1.16, 1.51, -1.67
60.5, 25.5, -27.9, -1.77, 1.17, -1.67
-137.6, 12.2, -81.5, 1.63, 0.52, 0.47
-140.4, 13.5, -87.8, -0.64, -0.53, 0.32
-60.7, 66.8, -33.1, 1.61, 0.43, -0.66
-39.3, 70.8, 89.5, 1.68, -0.61, -0.01
0.6, 151.7, 99.7, -1.96, 1.44, 0.44
-74.2, 134.3, -97.7, 1.14, -1.78, 0.30
-73.1, 16.3, -68.7, -1.35, -1.60, -0.94
-1.6, -164.6, -157.3, -0.29, 0.45, 1.06
-2.4, -175.0, -94.0, -0.32, -0.66, 0.23
-125.8, 170.9, -109.3, -1.12, -1.50, 0.87
-0.3, -147.1, 104.5, 1.22, 1.13, 0.74
-34.0, 10.3, -6.6, -1.05, 0.22, -1.85
-77.4, 12.3, -54.4, -1.27, -1.94, -1.47
21.8, -27.1, 70.2, 0.93, 0.92, -1.12
89.7, -158.0, -147.6, -0.09, 0.89, 1.38
-38.3, 0.3, 55.0, -0.77, 0.86, 1.80
-70.3, -128.9, 175.9, 0.05, -0.04, 0.63
13.7, -49.6, 87.5, 1.10, -1.56, -0.07
52.7, 167.1, 162.3, -1.25, -0.68, -1.87
38.4, 67.1, -52.4, -1.52, 1.60, -1.23
-77.0, -27.4, 47.0, 0.32, -1.45, -1.35
-34.8, -115.1, -98.2, -0.58, 1.91, 0.27
-25.2, -6.1, -11.6, -0.63, 0.14, -0.66
49.6, 12.4, -52.6, -1.36, -1.59, -1.84
-13.1, -4.0, -45.1, -0.55, 1.39, -1.39
-58.2, -53.7, 67.2, 1.47, -1.46, -0.61
55.2, 115.0, 146.1, -0.93, -1.10, 1.64
-7.1, 154.1, 90.5, -1.65, -1.97, 0.02
57.9, 72.9, 70.4, -0.52, -1.11, -0.39
-5.1, -10.2, 88.1, 0.05, -0.20, -0.14
45.2, -105.0, 156.2, 0.47, -0.57, 1.27
48.6, -157.5, -142.3, -0.44, 0.39, 0.52
167.5, 57.0, 65.5, -0.85, -0.09, -0.03
-37.6, 158.0, 154.8, -1.79, -1.14, -1.60
Collecting data ...
YPR(deg)-X,YPR(deg)-Y,YPR(deg)-Z,Acceleration(g)-X,Acceleration(g)-Y,Acceleration(g)-Z
7.4, -116.4, -170.7, 1.24, 0.15, 0.91
-63.3, -120.3, 170.2, 1.07, -0.17, 0.96
-43.3, 10.6, 1.2, -1.21, -0.07, 0.75
35.8, -127.7, 118.1, 0.91, -1.03, 0.55
-122.7, -7.0, 73.0, -0.26, 1.34, -0.82
-12.7, -69.4, -63.0, -1.68, 0.98, -0.50
-50.7, 140.7, 161.0, 1.42, -0.78, -1.72
-11.3, -25.3, 5.6, -0.17, -0.09, -0.92
19.3, -74.2, 68.5, -1.70, -0.77, -0.31
-10.2, 167.0, 114.5, -1.24, 1.66, 1.06
7.3, -34.9, -80.6, 1.78, -0.55, -0.57
-22.0, 113.0, 124.7, 1.11, -0.75, 0.52
23.3, 39.6, -75.4, 0.69, -0.97, -0.80
-22.8, 49.8, -7.6, 1.38, 0.22, -1.59
36.9, 148.4, -165.9, 1.75, 0.61, -1.62
-91.8, 153.0, -132.9, -1.18, 0.64, 0.59
